Project Title,Guide,Domain1,Domain2
Decentralised authentication system,Prof. Jyoti Ramteke,Cybersecurity,
AIML Insurance Cost Predictor,Prof. Rupali Sawant,Data Science/Analytics,
Farmer marketplace website,Prof. Nawal Dandekar,DEV,
Text utility tool using NLP andAIML,Prof. Aparna Halbe,NLP,
Stock Price Predictor,Prof. Swapnali Kurhade,Data Science/Analytics,
Stock Analysis and Portfolio Management,Prof. Khushbu Chauhan,Data Science/Analytics,
Keylogger,Prof. Renuka Pawar,Cybersecurity,
LOAN AMOUNT PREDICTOR,Prof. Swapnali Kurhade,Data Science/Analytics,
Cancer Detection and Prediction,Prof. Khushbu Chauhan,AIML,
AttendEase,Prof. Abhijeet Salunke,DEV,
Object Detection And Recognition,Prasenjit Bhavathankar,Computer vision,
Heart Disease Risk Assessment using Machine Learning,Rupali Sawant,AIML,
Decentralized supply chain tracker,Prof. Sheetal Chaudhari,DEV,
Early Diagnosis of Parkinson's Disease,Prof. Jignesh Sisodia,AIML,
Indian Sign Language Recognition,Prof. Reeta Koshy,NLP,
Sentiment analysis for Amazon products,Prof. Aparna Halbe,NLP,
Crop Yield Predictor,Prof. Pramod Bide,Data Science/Analytics,
Instagram reach analysis,Prof. Rupali Sawant,Data Science/Analytics,
Sign Language Recognition,Prof. Sudhir Dhage,NLP,
Walmart Sales Forecasting,Prof. Sheetal Chaudhari,Data Science/Analytics,
Blood Cancer Detection using Image Processing and Machine Learning,Prof. Sheetal Chaudhari,AIML,
LOAN ELIGIBILITY PREDICTOR,Prof. Aparna Halbe,Data Science/Analytics,
BOT app - Bang on Time! - An app that helps you stay punctual,Dr. Nataasha Raul,DEV,
Text Summarisation Using NLP,Prof. Reeta Koshy,NLP,
Price Predictor,Prof Nawal Dandekar,Data Science/Analytics,
Object analyzer with facial recognition technology,Prof. Aparna Halbe,Computer vision,
Online debate website,Prof. Nawal Dandekar,DEV,
Subjective Long Answer Evaluation Using Machine Learning,Prof. Varsha Hole,AIML,
Source Code Plagiarism Checker,Dr. Anant Nimkar,Cybersecurity,
Dukaan (E-Kiraana Store),Dr. Kailas Devadkar,DEV,
Gesture Based Volume Control using Computer vision,Dr. Prasenjit Bhavthankar,Computer vision,Image and vedio processing
Financial Family Planning Model,Prof. Abhijeet Salunkhe,Data Science/Analytics,
Fashion recommendation system,Prof.Kiran Gawande,AIML,
Platform for kirana store owners,Prof.Varsha Hole,DEV,
Sign language recognition system,Dr. Dhananjay Kalbande,NLP,
Flight Ticket Price Prediction,Prof. Kiran Gawande,Data Science/Analytics,
Blockchain Solution for Transparent and Corruption-free Govt. official transfer,Prof.Renuka Pawar,DEV,
App to help the user maintain a healthy lifestyle and provide dietary advice,Prasenjit Bhavathankar,DEV,
Decentralized Application to Improve Healthcare System,Renuka Pawar,AIML,
Vehicle Number Plate Recognition and Reading,Dr.Surekha Dholay,Computer vision,
WhatsApp Chat Analyzer,Prof.Pramod Bhide,NLP,
Online Retail platform for farmers,Prof. Kiran Gawande,DEV,
Prediction of heart diseases usingAIML Algorithm,Prof.Reeta Koshy,AIML,
Dress ME AI,Prof.Reeta Koshy,AIML,
Device for visually impaired people,Dr. Dhananjay Kalbande,UX,
Machine Learning Powered Healthcare Chatbot,Prof. Sunil Ghane,AIML,
Speech Emotion Recognition System,Prof. Varsha Hole,AIML,
Company's Financial Report Analyzer,Dr.Surekha Dholay,Data Science/Analytics,
Disease prediction from external image of eye,Dr. Kailas Devadkar,AIML,
Question Paper Generator,Dr. Kailas Devadkar,AIML,
Forecasting COVID-19 cases,Prof. Jyoti Ramteke,Data Science/Analytics,
An application that helps find the safest route,Dr. Nataasha Raul,DEV,
Chronic disease detection and cure,Prof. Anand Godbole,AIML,
Disease and injury detection,Prof. Rupali Sawant,AIML,
Temperature Monitoring System,Prof. Sunil Ghane,DEV,
Auto completion tool,Prof. Swapnali Kurhade,Data Science/Analytics,
Student - College Interactive Portal,Prof. Jignesh Sisodia,DEV,
A.I. Powered E-Learning Website,Prof. Sunil Ghane,AIML,
Healthcare Advisory,Dr. Sudhir Dhage,AIML,
Red Traffic Light Violation Detection,Dr. Kailas Devadkar,Cybersecurity,
Campus Connect: Clubs and Committees Hub,Dr. Kailas Devadkar,DEV,
Face recognition based attendance system,Dr. Anant Nimkar,Computer vision,
Face recognition based attendance system,Prof. Pramod Bide,Computer vision,
Virtual Driving Assistant,Prof. Kiran Gawande,DEV,
Personal Finance Management,Prof Swapnili Kurhade,Data Science/Analytics,
Driver Drowsiness Detection System,Dr. D. R. Kalbande,AIML,
Home Automation System,Prof. Pramod Bide,DEV,
Examix - A secure and proctored online exam application,Prof. Anand Godbole,DEV,
Donate things to orphanage,Dr. Nataasha Raul,DEV,
Reliable Review Generator using NLP,Prof. Anand Godbole,NLP,
Student Lifestyle App,Prof. Jignesh Sisodia,DEV,
MEAL BOX,Prof. Nawal Dandekar,DEV,
Traffic Congestion prediction,Prof.Abhijeet Salunke,Data Science/Analytics,
Credit Card Fraud Detection,Dr. Kailas Devadkar,Cybersecurity,AIML
Credit Risk Analysis,Dr. Sudhir Dhage,Data Science/Analytics,
Music Entertainment Website,Dr. Sudhir Dhage,DEV,
Auto Answer Generation,Prof. Varsha Hole,AIML,
Website to tackle mental health problems,Prof. Khushbu Chauhan,DEV,
Stock price predictor,Prof. Pramod Bide,Data Science/Analytics,
Music Streaming Web Application,Prof. Sunil Ghane,DEV,
Startup success prediction,Dr. D. R. Kalbande,AIML,
Online pharmaceutical platform for comparing medicines ,Dr. Nataasha Raul,Data Science/Analytics,
The Swift Reader - NLP & Web Scraping based News Summarizer,Prof. Jignesh Sisodia,NLP,
Social Media App,Prof. Sunil Ghane,DEV,
Weather Forecasting tool ,Dr. Anant Nimkar,Data Science/Analytics,
Sales Forecasting ,Dr. D. R. Kalbande,Data Science/Analytics,
Car Pooling Application,Dr. Sudhir Dhage,DEV,
Facial Recognition for Cybersecurity ,Dr. Sudhir Dhage,Cybersecurity,
Movie recommendations web application ,Prof. Khushbu Chauhan,AIML,
Blockchain based voting system ,Dr. Anant Nimkar,DEV,
Sentimental analyzer embedded in a social media clone,Dr. Prasenjit Bhavathankar,NLP,
Personalized suggestion system for Films with additional features (using Filtering techniques),Dr. Anant Nimkar,AIML,
Symptom Analysis and Disease Identification Chatbot (DocBot),Prof. Jyoti Ramteke,AIML,
Image recognition (Sign Language to text to Audio Translator),Prof. Abhijeet Salunkhe ,NLP,
Colab+ (Collaboration tool),Dr. Surekha Dholay,DEV,
GroceryMe,Prof. Anand Godbole,DEV,
Rubik's cube solver using OpenComputer vision,Prof. Jignesh Sisodia,Computer vision,
Plant disease Detection,Prof. Swapnali Kurhade,AIML,
Extractive summarization of text using NLP and Deep Learning,Dr. Anant Nimkar,NLP,
Transparent and Genuine Charity Application,Prof. Renuka Pawar,DEV,
